mm_id,tag_id,mm_kind,pole,x,y
952,0,1,2,16810.099,95855.261
953,0,1,2,16810.836,95854.586
954,0,1,2,16811.573,95853.91
955,0,1,2,16812.316,95853.241
956,0,1,2,16813.08,95852.596
957,0,1,2,16813.844,95851.951
958,0,1,2,16814.608,95851.306
959,0,1,2,16815.372,95850.662
960,0,1,2,16816.137,95850.018
961,0,1,2,16816.922,95849.399
962,0,1,2,16817.707,95848.779
963,0,1,2,16818.491,95848.16
964,0,1,2,16819.276,95847.54
965,0,1,2,16820.061,95846.921
966,0,1,2,16820.859,95846.319
967,0,1,2,16821.659,95845.719
968,0,1,2,16822.459,95845.119
969,0,1,2,16823.258,95844.519
970,0,1,2,16824.058,95843.919
971,0,1,2,16824.865,95843.329
972,0,1,2,16825.674,95842.742
973,0,1,2,16826.484,95842.155
974,0,1,2,16827.293,95841.568
975,0,1,2,16828.103,95840.982
976,0,1,2,16828.915,95840.399
977,0,1,2,16829.729,95839.818
978,0,1,2,16830.544,95839.238
979,0,1,2,16831.358,95838.658
980,0,1,2,16832.172,95838.078
981,0,1,2,16832.987,95837.498
982,0,1,2,16833.802,95836.919
983,0,1,2,16834.617,95836.34
984,0,1,2,16835.432,95835.761
985,0,1,2,16836.247,95835.182
