mm_id,tag_id,mm_kind,pole,x,y
601,0,1,2,17041.558,95830.83
602,0,1,2,17043.52,95831.216
603,0,1,2,17045.482,95831.598
604,0,1,2,17047.446,95831.978
605,0,1,2,17049.41,95832.35
606,0,1,2,17051.375,95832.722
607,0,1,2,17053.34,95833.09
608,0,1,2,17055.306,95833.458
609,0,1,2,17057.271,95833.824
610,0,1,2,17059.237,95834.191
611,0,1,2,17061.202,95834.559
612,0,1,2,17063.168,95834.928
613,0,1,2,17065.133,95835.298
614,0,1,2,17067.095,95835.681
615,0,1,2,17069.058,95836.064
616,0,1,2,17071.017,95836.463
617,0,1,2,17072.974,95836.875
618,0,1,2,17074.93,95837.287
619,0,1,2,17076.878,95837.74
620,0,1,2,17078.825,95838.195
621,0,1,2,17080.766,95838.673
622,0,1,2,17082.699,95839.185
623,0,1,2,17084.632,95839.697
624,0,1,2,17086.548,95840.267
625,0,1,2,17088.461,95840.85
626,0,1,2,17090.367,95841.454
627,0,1,2,17092.252,95842.12
628,0,1,2,17094.137,95842.787
629,0,1,2,17096.006,95843.499
630,0,1,2,17097.855,95844.259
631,0,1,2,17099.693,95845.046
632,0,1,2,17101.511,95845.878
633,0,1,2,17103.312,95846.748
634,0,1,2,17105.097,95847.647
635,0,1,2,17106.866,95848.58
636,0,1,2,17108.609,95849.559
637,0,1,2,17110.337,95850.566
638,0,1,2,17112.047,95851.601
639,0,1,2,17113.73,95852.681
640,0,1,2,17115.392,95853.792
641,0,1,2,17117.036,95854.931
642,0,1,2,17118.655,95856.104
643,0,1,2,17120.246,95857.315
644,0,1,2,17121.816,95858.553
645,0,1,2,17123.366,95859.816
646,0,1,2,17124.88,95861.122
647,0,1,2,17126.372,95862.454
648,0,1,2,17127.841,95863.809
649,0,1,2,17129.279,95865.199
650,0,1,2,17130.674,95866.632
651,0,1,2,17132.055,95868.077
652,0,1,2,17133.424,95869.534
653,0,1,2,17134.735,95871.044
654,0,1,2,17136.046,95872.554
655,0,1,2,17137.316,95874.097
656,0,1,2,17138.559,95875.664
657,0,1,2,17139.8,95877.231
658,0,1,2,17140.979,95878.847
659,0,1,2,17142.157,95880.462
660,0,1,2,17143.309,95882.096
661,0,1,2,17144.427,95883.754
662,0,1,2,17145.545,95885.412
663,0,1,2,17146.615,95887.101
664,0,1,2,17147.678,95888.795
665,0,1,2,17148.726,95890.497
666,0,1,2,17149.738,95892.222
667,0,1,2,17150.75,95893.946
668,0,1,2,17151.739,95895.684
669,0,1,2,17152.701,95897.437
